,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
97,0.589,0.956,-3.621,0.122,0.0322,0.0,0.231,0.579,91.023,0sWc1QilC3jmJVc18u7F43,196773
98,0.538,0.715,-4.339,0.0316,0.059,2.14e-06,0.103,0.571,169.528,5OKsh4BtEhNrnQknNvk3Yj,251867
99,0.508,0.951,-2.765,0.0948,0.00565,0.0,0.0632,0.521,184.017,7gVyxl2X2dSvLwZ2ojUTC9,180600
100,0.48,0.992,-2.408,0.096,0.00182,0.0,0.318,0.511,152.99,5iQ0q8OkIrWoJZiChvcMO6,181120
101,0.447,0.941,-3.129,0.0536,0.0212,0.0,0.295,0.907,183.935,3bsTpfT8tsXAaU1hdqWAaX,191960
102,0.426,0.961,-2.886,0.0993,0.0581,0.0,0.0305,0.784,178.06,2fXNnn0CF7wTK3H0qzDJpl,179867
103,0.584,0.971,-3.041,0.0702,0.0216,0.0,0.439,0.782,128.092,4rZ0E41vSsttJd2AzaI4Y1,199733
104,0.572,0.983,-2.848,0.0828,0.000161,4.94e-06,0.312,0.552,127.968,4Dn01Bky5ldf7v0iaeO8zf,225293
105,0.424,0.982,-3.516,0.0717,9.76e-05,0.0,0.276,0.596,175.15,1Xx4drnEuAD3MAiBQip2vv,199405
106,0.475,0.987,-3.515,0.121,0.00028,2.36e-06,0.335,0.632,162.002,7vBBL9qR7sgvb0vD04iLTk,213741
107,0.572,0.982,-3.218,0.0766,0.000179,0.0,0.0629,0.644,132.024,39YFdsTu3cCsFAwXy0ZaMM,202088
108,0.429,0.987,-3.233,0.0855,0.00226,0.0,0.311,0.62,178.174,5oaSlcXjg1STGGzT5Bs0T2,216686
109,0.524,0.895,-4.625,0.0423,0.00835,0.0,0.0879,0.557,157.053,40t2E0HHaaUTp0dolN4dNp,226328
110,0.508,0.964,-3.712,0.0453,5.87e-05,3.29e-05,0.172,0.545,140.03,4YsAIpME2xJ1YERIgmhnzc,200510
